ROM/27/65,evsb,ja,gev/skill_name,
ROM/27/66,evsb,en,gev/skill_name,
ROM/27/67,evsb,ja,gev/term,
ROM/27/68,evsb,en,gev/term,
ROM/27/69,evsb,ja,gev/emote,
ROM/27/70,evsb,en,gev/emote,
ROM/27/71,evsb,ja,gev/battle,
ROM/27/72,evsb,en,gev/battle,
ROM/27/73,evsb,ja,gev/status,
ROM/27/74,evsb,en,gev/status,
ROM/27/75,evsb,ja,gev/message,
ROM/27/76,evsb,en,gev/message,
ROM/27/79,evsb,ja,gev/action,
ROM/27/80,evsb,en,gev/action,
ROM/97/8,xis,ja,lobby/message,
ROM/97/20,xis,ja,etc/misc_message_01,
ROM/97/36,xis,en,lobby/message,
ROM/97/38,xis,en,etc/misc_message_01,
ROM/118/102,xis,ja,etc/time_formatter,
ROM/118/103,xis,en,etc/time_formatter,
ROM/165/53,dmsg,ja,lobby/misc_message,1
ROM/165/54,dmsg,ja,sys/error_message,1
ROM/165/56,dmsg,ja,sys/misc_string_01,1
ROM/165/58,dmsg,ja,sys/menu/text,1
ROM/165/59,dmsg,ja,sys/menu/help,1
ROM/165/60,dmsg,ja,sys/menu/title,1
ROM/165/61,dmsg,ja,sys/menu/text2,1
ROM/165/62,dmsg,ja,sys/region,1
ROM/165/63,dmsg,ja,sys/area,1
ROM/165/64,dmsg,ja,sys/job,1
ROM/165/65,dmsg,ja,sys/weather,1
ROM/165/66,dmsg,ja,sys/day_of_week,1
ROM/165/67,dmsg,ja,sys/orientation,1
ROM/165/68,dmsg,ja,sys/moon_phase,1
ROM/165/69,dmsg,en,lobby/misc_message,
ROM/165/70,dmsg,en,sys/error_message,
ROM/165/72,dmsg,en,sys/misc_string_01,
ROM/165/74,dmsg,en,sys/menu/text,
ROM/165/75,dmsg,en,sys/menu/help,
ROM/165/76,dmsg,en,sys/menu/title,
ROM/165/77,dmsg,en,sys/menu/text2,
ROM/165/78,dmsg,en,sys/region,
ROM/165/79,dmsg,en,sys/weather,
ROM/165/80,dmsg,en,sys/day_of_week,
ROM/165/81,dmsg,en,sys/orientation,
ROM/165/82,dmsg,en,sys/moon_phase,
ROM/165/83,dmsg,en,sys/area,
ROM/165/86,dmsg,en,sys/job,
ROM/165/87,dmsg,en,sys/job_abbr,
ROM/166/115,dmsg,ja,sys/blue_magic_help,1
ROM/166/116,dmsg,en,sys/blue_magic_help,
ROM/169/74,dmsg,ja,sys/meritpoint_text,1
