4,inb,jp,itm/normal,1|2
5,iub,jp,itm/usable,1|2
6,iwb,jp,itm/weapon,1|2
7,iab,jp,itm/armor,1|2
8,ipb,jp,itm/puppet,1|2
9,icb,jp,itm/currency
12,sd,jp,sys/status_data
2768,evsb,jp,ev/Abyssea - Konschtat
2798,evsb,jp,ev/Abyssea - Tahrongi
2833,evsb,jp,ev/Southern San d'Oria [S]
2834,evsb,jp,ev/East Ronfaure [S]
2835,evsb,jp,ev/Jugner Forest [S]
2836,evsb,jp,ev/Vunkerl Inlet [S]
2837,evsb,jp,ev/Batallia Downs [S]
2838,evsb,jp,ev/La Vaule [S]
2839,evsb,jp,ev/Everbloom Hollow
2840,evsb,jp,ev/Bastok Markets [S]
2841,evsb,jp,ev/North Gustaberg [S]
2842,evsb,jp,ev/Grauberg [S]
2843,evsb,jp,ev/Pashhow Marshlands [S]
2844,evsb,jp,ev/Rolanberry Fields [S]
2845,evsb,jp,ev/Beadeaux [S]
2846,evsb,jp,ev/Ruhotz Silvermines
2847,evsb,jp,ev/Windurst Waters [S]
2848,evsb,jp,ev/West Sarutabaruta [S]
2849,evsb,jp,ev/Fort Karugo-Narugo [S]
2850,evsb,jp,ev/Meriphataud Mountains [S]
2851,evsb,jp,ev/Sauromugue Champaign [S]
2852,evsb,jp,ev/Castle Oztroja [S]
2853,evsb,jp,ev/West Ronfaure
2854,evsb,jp,ev/East Ronfaure
2855,evsb,jp,ev/La Theine Plateau
2856,evsb,jp,ev/Valkurm Dunes
2857,evsb,jp,ev/Jugner Forest
2858,evsb,jp,ev/Batallia Downs
2859,evsb,jp,ev/North Gustaberg
2860,evsb,jp,ev/South Gustaberg
2861,evsb,jp,ev/Konschtat Highlands
2862,evsb,jp,ev/Pashhow Marshlands
2863,evsb,jp,ev/Rolanberry Fields
2864,evsb,jp,ev/Beaucedine Glacier
2865,evsb,jp,ev/Xarcabard
2868,evsb,jp,ev/West Sarutabaruta
2869,evsb,jp,ev/East Sarutabaruta
2870,evsb,jp,ev/Tahrongi Canyon
2871,evsb,jp,ev/Buburimu Peninsula
2872,evsb,jp,ev/Meriphataud Mountains
2873,evsb,jp,ev/Sauromugue Champaign
2879,evsb,jp,ev/Qufim Island
2880,evsb,jp,ev/Behemoth's Dominion
2882,evsb,jp,ev/Ghoyu's Reverie
2884,evsb,jp,ev/Mordion Gaol
2885,evsb,jp,ev/Abyssea - La Theine
2889,evsb,jp,ev/Beaucedine Glacier [S]
2890,evsb,jp,ev/Xarcabard [S]
2891,evsb,jp,ev/Castle Zvahl Baileys [S]
2892,evsb,jp,ev/Horlais Peak
2893,evsb,jp,ev/Ghelsba Outpost
2894,evsb,jp,ev/Fort Ghelsba
2895,evsb,jp,ev/Yughott Grotto
2896,evsb,jp,ev/Palborough Mines
2897,evsb,jp,ev/Waughroon Shrine
2898,evsb,jp,ev/Giddeus
2899,evsb,jp,ev/Balga's Dais
2900,evsb,jp,ev/Beadeaux
2901,evsb,jp,ev/Qulun Dome
2902,evsb,jp,ev/Davoi
2903,evsb,jp,ev/Monastic Cavern
2904,evsb,jp,ev/Castle Oztroja
2905,evsb,jp,ev/Altar Room
2908,evsb,jp,ev/Castle Zvahl Keep [S]
2909,evsb,jp,ev/Throne Room [S]
2910,evsb,jp,ev/Middle Delkfutt's Tower
2911,evsb,jp,ev/Upper Delkfutt's Tower
2914,evsb,jp,ev/Castle Zvahl Baileys
2915,evsb,jp,ev/Castle Zvahl Keep
2917,evsb,jp,ev/Garlaige Citadel [S]
2918,evsb,jp,ev/Throne Room
2919,evsb,jp,ev/Ranguemont Pass
2920,evsb,jp,ev/Bostaunieux Oubliette
2922,evsb,jp,ev/Toraimarai Canal
2924,evsb,jp,ev/Crawlers' Nest [S]
2925,evsb,jp,ev/Zeruhn Mines
2928,evsb,jp,ev/The Eldieme Necropolis [S]
2935,evsb,jp,ev/Walk of Echoes
2936,evsb,jp,ev/Maquette Abdhaljs-LegionA
2937,evsb,jp,ev/Lower Delkfutt's Tower
2942,evsb,jp,ev/Outer Ra'Kaznar [U3]
2943,evsb,jp,ev/King Ranperre's Tomb
2944,evsb,jp,ev/Dangruf Wadi
2945,evsb,jp,ev/Inner Horutoto Ruins
2946,evsb,jp,ev/Ordelle's Caves
2947,evsb,jp,ev/Outer Horutoto Ruins
2948,evsb,jp,ev/The Eldieme Necropolis
2949,evsb,jp,ev/Gusgen Mines
2950,evsb,jp,ev/Crawlers' Nest
2951,evsb,jp,ev/Maze of Shakhrami
2952,evsb,jp,ev/198
2953,evsb,jp,ev/Garlaige Citadel
2957,evsb,jp,ev/Fei'Yin
2959,evsb,jp,ev/Qu'Bia Arena
2963,evsb,jp,ev/209
2967,evsb,jp,ev/213
2968,evsb,jp,ev/Abyssea - Attohwa
2969,evsb,jp,ev/Abyssea - Misareaux
2970,evsb,jp,ev/Abyssea - Vunkerl
2971,evsb,jp,ev/Abyssea - Altepa
2972,evsb,jp,ev/218
2973,evsb,jp,ev/Ship bound for Selbina
2974,evsb,jp,ev/Ship bound for Mhaura
2975,evsb,jp,ev/Provenance
2976,evsb,jp,ev/San d'Oria-Jeuno Airship
2977,evsb,jp,ev/Bastok-Jeuno Airship
2978,evsb,jp,ev/Windurst-Jeuno Airship
2980,evsb,jp,ev/Ship bound for Selbina
2981,evsb,jp,ev/Ship bound for Mhaura
2982,evsb,jp,ev/Throne Room [V]
2983,evsb,jp,ev/Southern San d'Oria
2984,evsb,jp,ev/Northern San d'Oria
2985,evsb,jp,ev/Port San d'Oria
2986,evsb,jp,ev/Chateau d'Oraguille
2987,evsb,jp,ev/Bastok Mines
2988,evsb,jp,ev/Bastok Markets
2989,evsb,jp,ev/Port Bastok
2990,evsb,jp,ev/Metalworks
2991,evsb,jp,ev/Windurst Waters
2992,evsb,jp,ev/Windurst Walls
2993,evsb,jp,ev/Port Windurst
2994,evsb,jp,ev/Windurst Woods
2995,evsb,jp,ev/Heavens Tower
2996,evsb,jp,ev/Ru'Lude Gardens
2997,evsb,jp,ev/Upper Jeuno
2998,evsb,jp,ev/Lower Jeuno
2999,evsb,jp,ev/Port Jeuno
3001,evsb,jp,ev/Selbina
3002,evsb,jp,ev/Mhaura
3006,evsb,jp,ev/Abyssea - Uleguerand
3007,evsb,jp,ev/Abyssea - Grauberg
3008,evsb,jp,ev/Abyssea - Empyreal Paradox
3024,evsb,en,ev/Abyssea - Konschtat
3054,evsb,en,ev/Abyssea - Tahrongi
3089,evsb,en,ev/Southern San d'Oria [S]
3090,evsb,en,ev/East Ronfaure [S]
3091,evsb,en,ev/Jugner Forest [S]
3092,evsb,en,ev/Vunkerl Inlet [S]
3093,evsb,en,ev/Batallia Downs [S]
3094,evsb,en,ev/La Vaule [S]
3095,evsb,en,ev/Everbloom Hollow
3096,evsb,en,ev/Bastok Markets [S]
3097,evsb,en,ev/North Gustaberg [S]
3098,evsb,en,ev/Grauberg [S]
3099,evsb,en,ev/Pashhow Marshlands [S]
3100,evsb,en,ev/Rolanberry Fields [S]
3101,evsb,en,ev/Beadeaux [S]
3102,evsb,en,ev/Ruhotz Silvermines
3103,evsb,en,ev/Windurst Waters [S]
3104,evsb,en,ev/West Sarutabaruta [S]
3105,evsb,en,ev/Fort Karugo-Narugo [S]
3106,evsb,en,ev/Meriphataud Mountains [S]
3107,evsb,en,ev/Sauromugue Champaign [S]
3108,evsb,en,ev/Castle Oztroja [S]
3109,evsb,en,ev/West Ronfaure
3110,evsb,en,ev/East Ronfaure
3111,evsb,en,ev/La Theine Plateau
3112,evsb,en,ev/Valkurm Dunes
3113,evsb,en,ev/Jugner Forest
3114,evsb,en,ev/Batallia Downs
3115,evsb,en,ev/North Gustaberg
3116,evsb,en,ev/South Gustaberg
3117,evsb,en,ev/Konschtat Highlands
3118,evsb,en,ev/Pashhow Marshlands
3119,evsb,en,ev/Rolanberry Fields
3120,evsb,en,ev/Beaucedine Glacier
3121,evsb,en,ev/Xarcabard
3124,evsb,en,ev/West Sarutabaruta
3125,evsb,en,ev/East Sarutabaruta
3126,evsb,en,ev/Tahrongi Canyon
3127,evsb,en,ev/Buburimu Peninsula
3128,evsb,en,ev/Meriphataud Mountains
3129,evsb,en,ev/Sauromugue Champaign
3135,evsb,en,ev/Qufim Island
3136,evsb,en,ev/Behemoth's Dominion
3138,evsb,en,ev/Ghoyu's Reverie
3140,evsb,en,ev/Mordion Gaol
3141,evsb,en,ev/Abyssea - La Theine
3145,evsb,en,ev/Beaucedine Glacier [S]
3146,evsb,en,ev/Xarcabard [S]
3147,evsb,en,ev/Castle Zvahl Baileys [S]
3148,evsb,en,ev/Horlais Peak
3149,evsb,en,ev/Ghelsba Outpost
3150,evsb,en,ev/Fort Ghelsba
3151,evsb,en,ev/Yughott Grotto
3152,evsb,en,ev/Palborough Mines
3153,evsb,en,ev/Waughroon Shrine
3154,evsb,en,ev/Giddeus
3155,evsb,en,ev/Balga's Dais
3156,evsb,en,ev/Beadeaux
3157,evsb,en,ev/Qulun Dome
3158,evsb,en,ev/Davoi
3159,evsb,en,ev/Monastic Cavern
3160,evsb,en,ev/Castle Oztroja
3161,evsb,en,ev/Altar Room
3164,evsb,en,ev/Castle Zvahl Keep [S]
3165,evsb,en,ev/Throne Room [S]
3166,evsb,en,ev/Middle Delkfutt's Tower
3167,evsb,en,ev/Upper Delkfutt's Tower
3170,evsb,en,ev/Castle Zvahl Baileys
3171,evsb,en,ev/Castle Zvahl Keep
3173,evsb,en,ev/Garlaige Citadel [S]
3174,evsb,en,ev/Throne Room
3175,evsb,en,ev/Ranguemont Pass
3176,evsb,en,ev/Bostaunieux Oubliette
3178,evsb,en,ev/Toraimarai Canal
3180,evsb,en,ev/Crawlers' Nest [S]
3181,evsb,en,ev/Zeruhn Mines
3184,evsb,en,ev/The Eldieme Necropolis [S]
3191,evsb,en,ev/Walk of Echoes
3192,evsb,en,ev/Maquette Abdhaljs-LegionA
3193,evsb,en,ev/Lower Delkfutt's Tower
3198,evsb,en,ev/Outer Ra'Kaznar [U3]
3199,evsb,en,ev/King Ranperre's Tomb
3200,evsb,en,ev/Dangruf Wadi
3201,evsb,en,ev/Inner Horutoto Ruins
3202,evsb,en,ev/Ordelle's Caves
3203,evsb,en,ev/Outer Horutoto Ruins
3204,evsb,en,ev/The Eldieme Necropolis
3205,evsb,en,ev/Gusgen Mines
3206,evsb,en,ev/Crawlers' Nest
3207,evsb,en,ev/Maze of Shakhrami
3208,evsb,en,ev/198
3209,evsb,en,ev/Garlaige Citadel
3213,evsb,en,ev/Fei'Yin
3215,evsb,en,ev/Qu'Bia Arena
3219,evsb,en,ev/209
3223,evsb,en,ev/213
3224,evsb,en,ev/Abyssea - Attohwa
3225,evsb,en,ev/Abyssea - Misareaux
3226,evsb,en,ev/Abyssea - Vunkerl
3227,evsb,en,ev/Abyssea - Altepa
3228,evsb,en,ev/218
3229,evsb,en,ev/Ship bound for Selbina
3230,evsb,en,ev/Ship bound for Mhaura
3231,evsb,en,ev/Provenance
3232,evsb,en,ev/San d'Oria-Jeuno Airship
3233,evsb,en,ev/Bastok-Jeuno Airship
3234,evsb,en,ev/Windurst-Jeuno Airship
3236,evsb,en,ev/Ship bound for Selbina
3237,evsb,en,ev/Ship bound for Mhaura
3238,evsb,en,ev/Throne Room [V]
3239,evsb,en,ev/Southern San d'Oria
3240,evsb,en,ev/Northern San d'Oria
3241,evsb,en,ev/Port San d'Oria
3242,evsb,en,ev/Chateau d'Oraguille
3243,evsb,en,ev/Bastok Mines
3244,evsb,en,ev/Bastok Markets
3245,evsb,en,ev/Port Bastok
3246,evsb,en,ev/Metalworks
3247,evsb,en,ev/Windurst Waters
3248,evsb,en,ev/Windurst Walls
3249,evsb,en,ev/Port Windurst
3250,evsb,en,ev/Windurst Woods
3251,evsb,en,ev/Heavens Tower
3252,evsb,en,ev/Ru'Lude Gardens
3253,evsb,en,ev/Upper Jeuno
3254,evsb,en,ev/Lower Jeuno
3255,evsb,en,ev/Port Jeuno
3257,evsb,en,ev/Selbina
3258,evsb,en,ev/Mhaura
